Row	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	Replicate
A	0.327	0.415	0.48	0.388	0.465	0.375	0.401	0.38	0.395	0.398	0.433	0.423	R1
B	0.439	0.399	0.466	0.374	0.476	0.429	0.424	0.487	0.457	0.465	0.427	0.393	R1
C	0.439	0.448	0.451	0.448	0.438	0.434	0.455	0.445	0.45	0.4	0.381	0.4	R1
D	0.459	0.441	0.461	0.504	0.459	0.41	0.468	0.408	0.408	0.399	0.376	0.375	R1
E	0.424	0.429	0.503	0.479	0.535	0.465	0.473	0.414	0.409	0.394	0.413	0.426	R1
F	0.436	0.434	0.457	0.425	0.468	0.461	0.486	0.46	0.458	0.363	0.481	0.377	R1
G	0.432	0.459	0.482	0.46	0.459	0.486	0.466	0.462	0.385	0.387	0.4	0.376	R1
H	0.405	0.445	0.447	0.442	0.477	0.49	0.413	0.441	0.437	0.391	0.374	0.406	R1
A	0.424	0.431	0.433	0.434	0.444	0.43	0.435	0.44	0.438	0.442	0.433	0.439	R2
B	0.428	0.427	0.433	0.429	0.436	0.436	0.437	0.437	0.436	0.441	0.436	0.437	R2
C	0.423	0.425	0.433	0.437	0.434	0.43	0.435	0.434	0.437	0.435	0.43	0.45	R2
D	0.439	0.428	0.436	0.436	0.435	0.443	0.436	0.45	0.436	0.422	0.436	0.44	R2
E	0.418	0.421	0.428	0.434	0.419	0.428	0.452	0.424	0.436	0.4	0.424	0.438	R2
F	0.431	0.423	0.429	0.427	0.422	0.42	0.424	0.426	0.431	0.404	0.428	0.432	R2
G	0.425	0.419	0.427	0.422	0.414	0.413	0.399	0.437	0.433	0.403	0.427	0.438	R2
H	0.41	0.403	0.4	0.431	0.422	0.414	0.426	0.433	0.411	0.395	0.416	0.422	R2
A	0.253	0.229	0.216	0.208	0.216	0.211	0.223	0.231	0.215	0.213	0.228	0.208	R3
B	0.231	0.221	0.231	0.217	0.223	0.222	0.216	0.207	0.201	0.213	0.205	0.209	R3
C	0.232	0.212	0.218	0.218	0.216	0.214	0.209	0.205	0.205	0.202	0.205	0.216	R3
D	0.226	0.217	0.214	0.218	0.214	0.207	0.21	0.207	0.202	0.192	0.197	0.202	R3
E	0.229	0.219	0.222	0.217	0.22	0.221	0.211	0.22	0.217	0.204	0.202	0.217	R3
F	0.222	0.223	0.214	0.222	0.209	0.218	0.208	0.205	0.205	0.202	0.202	0.218	R3
G	0.22	0.214	0.223	0.222	0.211	0.208	0.201	0.205	0.204	0.2	0.215	0.216	R3
H	0.246	0.234	0.235	0.24	0.25	0.251	0.214	0.236	0.243	0.203	0.232	0.236	R3
A	0.506	0.453	0.434	0.446	0.427	0.427	0.445	0.473	0.444	0.434	0.466	0.45	R4
B	0.449	0.435	0.469	0.46	0.448	0.481	0.435	0.455	0.461	0.462	0.442	0.454	R4
C	0.497	0.439	0.477	0.456	0.467	0.425	0.432	0.458	0.457	0.456	0.454	0.473	R4
D	0.446	0.433	0.443	0.453	0.446	0.47	0.451	0.457	0.427	0.434	0.434	0.444	R4
E	0.476	0.453	0.466	0.473	0.471	0.437	0.424	0.487	0.441	0.417	0.438	0.513	R4
F	0.478	0.437	0.442	0.447	0.445	0.447	0.429	0.433	0.44	0.417	0.454	0.457	R4
G	0.507	0.43	0.435	0.451	0.439	0.427	0.471	0.442	0.443	0.462	0.485	0.446	R4
H	0.423	0.412	0.424	0.496	0.447	0.453	0.467	0.447	0.457	0.363	0.46	0.468	R4
